tile_count,solar_system_count,education_bachelor,education_college,education_doctoral,education_high_school_graduate,education_less_than_high_school,education_master,education_population,education_professional_school,employed,importance,entropy,heating_factor,gini_index,heating_fuel_coal_coke,heating_fuel_electricity,heating_fuel_fuel_oil_kerosene,heating_fuel_gas,heating_fuel_housing_unit_count,heating_fuel_none,heating_fuel_other,heating_fuel_solar
79,66,526,1249,10,610,304,120,2858,39,2192,39.3638,41.3638,226,0.3638,0,226,0,1129,1411,56,0,0
38,35,315,782,9,525,242,88,1974,13,1536,13.4096,15.4096,107,0.4096,0,107,0,777,893,9,0,1
83,67,552,1197,32,861,447,65,3189,35,2181,35.3321,37.3321,314,0.3321,0,314,0,1092,1422,16,0,0
149,46,63,342,4,256,219,21,905,0,169,0.6766,2.6766,27,0.6766,3,27,0,22,52,0,0,1
59,46,392,717,4,493,403,117,2126,0,1268,0.3594,2.3594,175,0.3594,19,175,0,520,746,32,0,0
162,137,1138,538,146,118,25,478,2923,480,1693,480.5795,482.5795,259,0.5795,0,259,0,1206,1509,27,0,17
7,7,1064,356,138,179,9,489,2626,391,2005,391.4724,393.4724,473,0.4724,0,473,0,1236,1801,85,7,0
83,69,263,1100,0,1059,1281,71,3781,7,2486,7.3772,9.3772,402,0.3772,0,396,6,947,1551,202,0,0
20,15,137,755,0,650,746,31,2324,5,1879,5.3597,7.3597,323,0.3597,0,323,0,561,1165,281,0,0
24,20,284,719,10,599,577,27,2216,0,1514,0.4139,2.4139,233,0.4139,0,233,0,642,1026,144,0,7
2,2,1825,606,255,154,96,627,3928,365,3364,365.4028,367.4028,694,0.4028,0,694,0,1995,2890,201,0,0
101,48,324,927,0,1017,2265,8,4541,0,3527,0.4974,2.4974,807,0.4974,0,807,0,1042,2187,338,0,0
40,38,202,627,0,550,667,43,2089,0,1728,0.4277,2.4277,274,0.4277,0,274,0,731,1096,91,0,0
32,24,214,923,0,602,1027,18,2784,0,1987,0.4568,2.4568,307,0.4568,7,307,0,845,1456,283,14,0
4,3,2026,1104,242,519,245,1027,5465,302,3769,302.5165,304.5165,1930,0.5165,0,1930,0,1745,4005,330,0,0
34,30,223,869,7,476,490,64,2158,29,1473,29.3717,31.3717,229,0.3717,11,229,0,639,930,51,0,0
20,18,103,625,0,678,1311,54,2779,8,2005,8.4796,10.4796,255,0.4796,15,255,0,656,1163,237,0,0
13,8,1742,679,180,327,100,714,4009,267,3192,267.4175,269.4175,1003,0.4175,0,1003,0,1583,2674,88,0,0
19,10,1252,744,157,300,290,556,3371,72,2397,72.3952,74.3952,557,0.3952,0,557,0,1236,1945,152,0,0
91,71,377,1582,0,927,1148,200,4293,59,3312,59.4256,61.4256,418,0.4256,0,412,6,1448,2008,142,0,0
67,61,331,1151,0,896,1453,89,3920,0,2867,0.3545,2.3545,340,0.3545,0,340,0,1245,1712,127,0,0
118,83,1116,526,250,211,43,762,3363,455,2403,455.5166,457.5166,303,0.5166,0,303,0,1495,1909,111,0,0
30,12,1629,417,126,293,170,548,3310,127,2591,127.409,129.409,442,0.409,0,442,0,1448,2018,87,41,0
15,12,203,353,13,181,45,168,1015,52,751,52.4205,54.4205,122,0.4205,0,122,0,350,488,16,0,0
29,23,303,989,14,599,1155,47,3113,6,2368,6.4139,8.4139,318,0.4139,0,318,0,960,1440,162,0,0
91,71,629,1282,30,866,1211,57,4075,0,2853,0.404,2.404,591,0.404,4,591,0,1082,1797,107,0,13
3,3,228,1074,14,948,518,93,2885,10,1827,10.4216,12.4216,796,0.4216,0,796,0,750,1704,158,0,0
13,8,971,657,105,496,117,373,2852,133,2071,133.4327,135.4327,503,0.4327,0,503,0,1031,1665,131,0,0
14,8,967,553,65,439,241,184,2509,60,2146,60.4509,62.4509,475,0.4509,0,475,0,1044,1729,193,17,0
76,66,1079,1378,15,1040,275,459,4296,50,3326,50.3977,52.3977,684,0.3977,0,684,0,1641,2353,13,15,0
46,37,312,737,18,344,143,128,1705,23,1113,23.343,25.343,111,0.343,6,111,0,695,821,9,0,0
68,46,1041,1215,99,681,650,282,4143,175,2942,175.4966,177.4966,639,0.4966,0,639,0,1800,2603,164,0,1
13,10,894,754,41,519,427,419,3186,132,2164,132.4668,134.4668,421,0.4668,0,421,0,1277,1827,129,0,1
164,110,743,1586,31,658,373,195,3684,98,2586,98.3473,100.3473,294,0.3473,7,294,0,1372,1766,93,0,1
82,45,1285,789,163,418,51,521,3621,394,2353,394.5534,396.5534,1694,0.5534,0,1694,0,883,2872,295,0,0
107,90,923,1374,19,972,245,242,3858,83,2811,83.3581,85.3581,284,0.3581,0,284,0,1534,1900,82,0,0
37,33,499,871,10,443,374,272,2485,16,1877,16.3928,18.3928,237,0.3928,0,225,12,966,1215,4,0,8
35,32,1748,1256,172,293,149,692,4844,534,3268,534.4951,536.4951,949,0.4951,0,949,0,2045,3370,376,0,0
41,35,113,915,0,974,1760,61,3832,9,2591,9.3983,11.3983,309,0.3983,14,309,0,938,1568,307,0,0
105,85,672,1565,43,1161,384,185,4036,26,2832,26.3358,28.3358,270,0.3358,0,270,0,1651,1957,36,0,0
32,27,258,772,0,832,1012,84,2966,8,1888,8.3535,10.3535,255,0.3535,0,255,0,882,1203,66,0,0
33,27,2352,864,251,229,194,1150,5418,378,3883,378.4567,380.4567,1336,0.4567,0,1336,0,2155,3752,261,0,0
105,63,1240,826,83,524,61,503,3382,145,3144,145.5206,147.5206,234,0.5206,0,234,0,1763,2179,182,0,0
96,85,961,757,168,231,122,366,2874,269,2035,269.5175,271.5175,212,0.5175,0,212,0,1390,1695,82,0,11
139,114,660,1214,18,654,230,347,3179,56,2326,56.352,58.352,244,0.352,0,244,0,1282,1535,9,0,0
64,50,872,838,104,522,278,492,3242,136,2423,136.3977,138.3977,253,0.3977,23,253,0,1523,1834,28,0,7
109,70,584,1265,18,872,421,167,3340,13,2225,13.3689,15.3689,418,0.3689,0,418,0,1355,1773,0,0,0
110,75,1105,893,70,446,175,525,3388,174,2526,174.4829,176.4829,389,0.4829,0,389,0,1484,1938,59,0,6
42,33,1469,608,188,189,107,666,3394,167,2378,167.3878,169.3878,1128,0.3878,0,1128,0,907,2096,45,0,16
57,52,456,721,8,584,212,104,2108,23,1587,23.4056,25.4056,207,0.4056,0,207,0,724,961,30,0,0
62,49,637,1095,35,616,622,179,3260,76,2169,76.4028,78.4028,492,0.4028,8,492,0,1105,1721,93,23,0
73,63,529,950,128,689,271,89,2712,56,2194,56.355,58.355,254,0.355,0,254,0,991,1287,33,9,0
77,68,598,1184,0,856,357,223,3248,30,2438,30.397,32.397,608,0.397,38,608,0,1004,1822,172,0,0
103,75,789,875,49,897,867,278,3794,39,2408,39.4367,41.4367,599,0.4367,0,580,19,1124,1919,188,8,1
171,151,1422,1432,73,371,339,530,4319,152,2951,152.5086,154.5086,145,0.5086,0,145,0,2049,2251,57,0,0
6,3,63,264,0,326,230,15,898,0,417,0.4619,2.4619,279,0.4619,0,279,0,478,781,24,0,1
36,33,114,724,0,795,1243,15,2891,0,1864,0.4581,2.4581,316,0.4581,0,316,0,800,1461,345,0,0
21,19,138,391,0,677,888,27,2124,3,1154,3.5034,5.5034,346,0.5034,0,346,0,427,825,52,0,0
39,35,442,1209,10,726,941,77,3428,23,2651,23.3848,25.3848,358,0.3848,17,358,0,1104,1662,183,0,1
39,23,195,643,0,597,727,10,2190,18,1317,18.4294,20.4294,250,0.4294,3,250,0,556,1032,223,0,0
18,17,133,812,18,417,703,22,2105,0,1495,0.4389,2.4389,213,0.4389,0,213,0,749,1108,146,0,0
60,48,966,1144,68,618,479,429,3920,216,2707,216.5238,218.5238,250,0.5238,0,250,0,1840,2137,36,11,0
27,23,457,430,50,309,273,97,1684,68,1340,68.4581,70.4581,110,0.4581,0,110,0,716,848,22,0,0
63,28,680,726,17,412,379,182,2413,17,1695,17.445,19.445,98,0.445,0,98,0,1014,1201,89,0,0
42,37,586,994,22,1117,1350,248,4376,59,2349,59.4176,61.4176,599,0.4176,0,599,0,804,1478,75,0,0
155,118,807,638,96,303,111,379,2443,109,1622,109.4911,111.4911,382,0.4911,0,382,0,930,1334,22,0,0
45,32,2916,1930,295,737,215,1387,7782,302,5924,302.4164,304.4164,3934,0.4164,56,3934,0,1018,5149,141,0,0
163,136,1079,1406,81,704,153,571,4177,183,3155,183.4686,185.4686,608,0.4686,0,608,0,1646,2372,118,0,0
101,37,1374,1320,101,236,113,1306,4549,99,3632,99.439,101.439,1993,0.439,0,1974,19,1043,3101,65,0,0
322,255,1602,1808,249,587,156,878,5564,284,3514,284.4636,286.4636,704,0.4636,0,704,0,2179,2912,29,0,0
88,74,1074,1488,89,535,146,519,3966,115,3014,115.3849,117.3849,399,0.3849,0,399,0,1676,2127,52,0,0
65,54,759,1660,27,884,277,290,4001,104,2487,104.434,106.434,1036,0.434,0,1036,0,915,1998,47,0,0
135,110,1184,1588,83,254,169,594,4318,446,2850,446.4764,448.4764,434,0.4764,0,434,0,1995,2429,0,0,0
48,39,688,958,37,347,131,217,2433,55,1837,55.4045,57.4045,491,0.4045,10,491,0,813,1319,5,0,0
214,176,1082,948,31,634,232,449,3467,91,2063,91.4156,93.4156,346,0.4156,6,346,0,1144,1496,0,0,0
97,84,481,665,11,644,451,137,2400,11,1570,11.361,13.361,243,0.361,0,243,0,635,903,25,0,0
17,15,198,304,13,104,109,39,779,12,512,12.2722,14.2722,59,0.2722,0,59,0,208,286,19,0,0
87,71,967,1546,97,543,229,954,4603,267,2706,267.4583,269.4583,266,0.4583,0,266,0,2042,2322,14,0,0
84,76,1171,1576,71,805,772,324,4755,36,3075,36.4311,38.4311,739,0.4311,0,739,0,1329,2150,82,0,0
55,46,443,911,0,667,374,238,2648,15,1878,15.3375,17.3375,293,0.3375,0,293,0,734,1067,40,0,0
128,106,1331,1064,114,643,499,393,4288,244,2862,244.3602,246.3602,272,0.3602,0,272,0,1562,1901,67,0,0
24,21,234,688,35,626,706,42,2331,0,1776,0.4127,2.4127,187,0.4127,0,187,0,683,971,101,0,0
27,25,251,857,5,551,449,40,2153,0,1563,0.4025,2.4025,73,0.4025,0,73,0,723,838,42,0,0
47,35,1332,1281,45,897,327,252,4198,64,2723,64.4398,66.4398,470,0.4398,0,470,0,1583,2068,15,0,0
42,30,1021,877,84,670,422,369,3606,163,2360,163.4794,165.4794,535,0.4794,0,535,0,1182,1765,48,0,0
9,8,115,287,6,193,130,25,756,0,438,0.4203,2.4203,37,0.4203,0,37,0,229,283,17,0,0
51,40,514,705,32,396,115,245,2068,61,1397,61.3765,63.3765,174,0.3765,0,174,0,789,995,32,0,0
81,68,824,227,181,206,36,582,2404,348,1487,348.4759,350.4759,148,0.4759,0,148,0,1103,1251,0,0,0
23,17,373,803,21,512,412,118,2258,19,1747,19.4242,21.4242,219,0.4242,0,219,0,892,1147,36,0,0
60,50,531,1644,25,888,362,220,3675,5,2680,5.3965,7.3965,598,0.3965,0,598,0,1472,2123,53,0,0
26,25,667,632,33,507,266,258,2429,66,1670,66.4024,68.4024,169,0.4024,0,169,0,1049,1258,40,0,0
14,12,438,595,45,555,505,194,2395,63,1703,63.4443,65.4443,405,0.4443,0,405,0,839,1283,39,0,0
13,8,1091,1488,13,565,631,369,4220,63,3116,63.3915,65.3915,793,0.3915,0,793,0,1524,2368,51,0,0
20,15,452,671,43,233,59,169,1719,92,1184,92.3927,94.3927,279,0.3927,6,279,0,751,1056,20,0,0
29,6,445,617,0,476,295,148,1995,14,1327,14.519,16.519,552,0.519,0,552,0,538,1154,64,0,0
16,5,1507,1851,78,1002,707,490,5710,75,3960,75.4848,77.4848,1798,0.4848,0,1798,0,1603,3517,116,0,0
4,4,902,1067,61,1096,523,146,3814,19,2375,19.471,21.471,674,0.471,0,674,0,1297,2015,44,0,0
42,36,212,887,0,714,1212,55,3121,41,2202,41.4729,43.4729,165,0.4729,0,165,0,865,1263,233,0,0
57,35,1061,1197,61,577,590,294,3820,40,2497,40.4479,42.4479,508,0.4479,8,496,12,1458,2001,27,0,0
54,24,191,331,0,449,821,47,1842,3,1044,3.467,5.467,119,0.467,0,119,0,332,647,196,0,0
1,1,106,602,0,487,785,33,2013,0,1480,0.4482,2.4482,218,0.4482,0,218,0,752,1066,96,0,0
23,19,132,290,19,335,344,72,1220,28,966,28.4497,30.4497,84,0.4497,0,84,0,429,605,92,0,0
15,12,165,716,0,660,787,114,2466,24,1641,24.4885,26.4885,341,0.4885,0,341,0,1099,1530,90,0,0
20,20,775,377,45,182,118,218,1796,81,1232,81.3573,83.3573,129,0.3573,6,129,0,636,806,35,0,0
84,57,1096,1878,31,761,418,357,4597,56,3387,56.4146,58.4146,419,0.4146,0,419,0,1822,2347,106,0,0
52,44,609,1549,26,832,1076,403,4571,76,3709,76.4464,78.4464,274,0.4464,12,274,0,1603,1948,59,0,0
60,45,691,1438,0,1073,1437,249,4913,25,3722,25.3888,27.3888,529,0.3888,9,529,0,1788,2400,74,0,0
41,27,675,1016,14,562,238,296,2838,37,2269,37.4303,39.4303,346,0.4303,0,346,0,1068,1447,33,0,0
93,47,177,841,11,902,1539,61,3551,20,2458,20.3738,22.3738,281,0.3738,20,281,0,832,1337,204,0,0
